Year,Make,Model,Condition,Price,ConsumerRating,ConsumerReviews,SellerType,SellerRating,SellerReviews,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,ExteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock#,Mileage
2019,Volvo,XC60 T5 Momentum,Used,38837,4.9,82,Dealer,4.5,324,27103,Good,5,4.9,4.9,4.8,4.9,4.9,Onyx Black,All-wheel Drive,20,27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,LYV102RK3KB341175,PV4235,38634
2018,Land,Rover Range Rover Velar P380 SE R-Dynamic,Used,48450,4,82,Dealer,4.6,33,29927,Fair,4.2,4.3,4,3.4,4.6,3.4,Silicon Silver,Four-wheel Drive,18,24,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,SALYL2RV8JA707808,JA707808,82814
2019,Honda,Pilot EX-L,Used,34999,4.8,223,Dealer,4.6,223,27262,Great,4.9,4.8,4.7,4.7,4.7,4.8,???,Front-wheel Drive,19,27,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H54KB046143,35360A,31902
2019,Jeep,Grand Cherokee Limited,Jeep Certified,33999,4.8,224,Dealer,3.4,10,14075,Great,4.9,4.9,4.8,4.6,4.9,4.8,Granite Crystal Clearcoat Metallic,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG9KC791969,CLP2146,38205
2021,Hyundai,Sonata SE,Used,25599,4.8,46,Dealer,4.6,19,29406,Great,4.8,4.8,4.7,4.8,4.9,4.8,Stormy Sea,Front-wheel Drive,28,38,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,5NPEG4JA3MH130007,PMH130007,10228
2018,BMW,330 i xDrive,Used,30987,4.8,32,Dealer,4.7,206,14094,Great,4.9,4.7,4.9,4.6,4.8,4.8,Jet Black,All-wheel Drive,23,33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA8D9C56JEM33973,22453B,53720
2021,Honda,Passport EX-L,Used,38872,4.8,19,Dealer,4.6,1421,33950,Good,4.9,4.7,4.9,4.7,4.8,4.8,Modern Steel Metallic,All-wheel Drive,19,24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H54MB008366,T178348A,17033
2020,Jeep,Wrangler Unlimited Sport,Used,40998,4.8,77,Dealer,3.3,21,33966,Good,4.8,4.8,4.8,4.5,4.9,4.8,Black,Four-wheel Drive,17,23,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1C4HJXDN6LW114231,22949117,32339
2019,Mazda,CX-5 Grand Touring,Used,29995,4.8,230,Dealer,4.5,77,14424,Great,4.8,4.8,4.8,4.8,4.9,4.8,Machine Gray Metallic,All-wheel Drive,24,30,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBDM1K0567005,AE22V177,19912
2019,Chevrolet,Tahoe LT,Used,39500,4.6,70,Dealer,4.6,1129,22408,Great,4.7,4.6,4.6,4.3,4.7,4.7,Black,Four-wheel Drive,15,21,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKBKC9KR278259,S8259,71311
2021,RAM,1500 Limited,Used,66790,4.8,92,Dealer,4.8,471,23005,Great,4.9,4.9,4.8,4.6,4.9,4.8,Diamond Black,Four-wheel Drive,15,21,Diesel,8-Speed Automatic,3.0L V6 24V DDI DOHC Turbo Diesel,1C6SRFHM4MN703254,AL1854,17747
2021,BMW,330 i xDrive,Used,44740,4.9,11,Dealer,4.7,1195,22182,Good,4.8,4.8,4.9,4.8,4.9,4.7,Jet Black,All-wheel Drive,25,34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3MW5R7J03M8C05842,22A0682A,12588
2020,Mercedes-Benz,GLE 350 Base 4MATIC,Used,51500,4.3,75,Dealer,3.9,467,22191,Good,4.6,4.6,4,3.9,4.6,4.1,Selenite Gray Metallic,All-wheel Drive,19,26,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,4JGFB4KB1LA125965,000W7485,49977
2014,Jeep,Grand Cherokee Limited,Used,19500,4.5,433,Dealer,3.9,467,22191,Great,4.7,4.6,4.5,4.3,4.8,4.3,Brilliant Black Crystal Pearlcoat,Four-wheel Drive,17,24,E85 Flex Fuel,8-Speed Automatic,3.6L V6 24V MPFI DOHC Flexible Fuel,1C4RJFBG5EC567442,0221201A,83756
2021,Tesla,Model 3 Long Range,Used,61921,3,1,Dealer,5,5,21784,Good,3,4,5,2,4,1,Black,All-wheel Drive,141,127,???,1-Speed Automatic,0 0.0,5YJ3E1EB9MF979541,9045TC,19979
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,Mercedes-Benz Certified,70900,5,10,Dealer,4.8,1645,20904,Good,5,5,5,4.8,5,5,Polar White,All-wheel Drive,17,22,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,4JGED6EB1KA143989,JP72886,33126
2021,Audi,Q8 55 Premium,Used,78500,5,3,Dealer,4.8,2586,21234,Great,5,5,5,4.7,5,5,Florett Silver Metallic,All-wheel Drive,18,23,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WA1CVBF18MD031564,KP031564,19861
2020,Lincoln,Aviator Reserve AWD,Used,58752,4,88,Dealer,4.2,341,33331,Great,4.4,4.4,4.1,3.5,4.5,3.5,Radiance,All-wheel Drive,17,24,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5LM5J7XC2LGL14068,TLGL14068,20004
2019,Lexus,RX 350,Used,42281,4.8,102,Dealer,4.9,3402,33073,Great,4.8,4.8,4.8,4.6,4.9,4.8,Deep Blue,Front-wheel Drive,20,28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2ZZMCA1KC147490,TDKC147490,17573
2019,Lexus,GX 460 Base,Used,46888,4.7,24,Dealer,4.7,2357,33181,Good,4.8,4.6,4.6,4.5,4.6,4.8,Black Onyx,Four-wheel Drive,15,18,Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJBM7FX0K5224334,22363601,29680
2021,Mercedes-Benz,C-Class C 300,Used,41750,5,4,Dealer,4.5,463,33162,Good,5,4.8,5,5,5,5,designo Graphite Gray Magno,Rear-wheel Drive,23,35,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1KWF8DB7MR651331,P021229A,14527
2021,Porsche,Macan GTS,Porsche Certified,91444,4.9,3,Dealer,4.8,213,19711,Great,4.7,5,5,4.7,4.7,5,Carrara White Metallic,All-wheel Drive,17,22,Gasoline,7-Speed Automatic with Auto-Shift,2.9L V6 24V GDI DOHC Twin Turbo,WP1AG2A52MLB50880,R2045,6290
2014,Audi,RS 5 4.2,Used,47455,4.8,15,Dealer,4.5,283,8002,Fair,4.7,4.9,4.8,4.6,4.9,4.8,Sepang Blue Pearl Effect,All-wheel Drive,16,23,Gasoline,7-Speed Automatic with Auto-Shift,4.2L V8 32V GDI DOHC,WUAC6AFR1EA900322,AU9379,47425
2020,BMW,X3 xDrive30i,Used,34491,4.9,51,Dealer,5,4,8817,Great,5,4.9,4.9,4.7,4.9,4.9,Phytonic Blue Metallic,All-wheel Drive,24,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTY5C00LLT36991,F098I,49870
2022,Porsche,911 Turbo,Used,268699,4.9,1,Dealer,4.3,498,7457,Great,5,5,5,4,5,5,Chalk,All-wheel Drive,15,20,Gasoline,8-Speed Automatic with Auto-Shift,3.8L H6 24V GDI DOHC Twin Turbo,WP0AD2A99NS254819,254819C01,415
2020,BMW,X3 xDrive30i,Used,39000,4.9,51,Dealer,3.7,47,10019,Great,5,4.9,4.9,4.7,4.9,4.9,Blue Metallic,All-wheel Drive,24,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTY5C06L9C58927,MUL9C58927,28095
2019,Mercedes-Benz,S-Class S 450 4MATIC,Used,60995,4.6,14,Dealer,3.7,21,7631,Great,5,4.8,4.4,4.4,4.7,4.3,Selenite Gray Metallic,All-wheel Drive,18,28,Gasoline,9-SPEED A/T,V6 Cylinder Engine,WDDUG6EB6KA496726,KA496726,28316
2019,Nissan,Murano SL,Nissan Certified,31899,4.9,96,Dealer,4.7,387,12020,Good,5,4.9,4.8,4.8,4.9,4.8,Magnetic Black,All-wheel Drive,20,28,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,5N1AZ2MS2KN119333,P5581,34068
2020,Acura,MDX 3.5L,Used,42841,4.9,50,Dealer,4.6,1410,11210,Good,4.9,4.9,4.9,4.8,4.8,4.9,Gray,All-wheel Drive,19,26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5J8YD4H30LL001635,A5094PL,17499
2019,Mercedes-Benz,S-Class S 560 4MATIC,Used,42767,4.6,14,Dealer,3.7,3,10466,NA,5,4.8,4.4,4.4,4.7,4.3,Black,All-wheel Drive,17,27,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WDDUG8GB2KA430599,430599,83321
2019,Volvo,XC90 T6 Momentum,Used,40999,4.7,69,Dealer,4.9,635,1757,Great,4.9,4.7,4.8,4.6,4.8,4.6,Black,All-wheel Drive,19,26,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,YV4A22PK1K1451613,P3487,59546
2021,Honda,Pilot EX-L,Used,40495,4.8,63,Dealer,4.6,590,1760,Great,4.9,4.7,4.8,4.7,4.7,4.8,Gray,All-wheel Drive,19,26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H57MB012271,A220446A,18543
2020,Volvo,XC90 T6 Inscription 6 Passenger,Used,52589,4.7,35,Dealer,4.7,402,1832,Good,4.9,4.8,4.6,4.5,4.9,4.7,Thunder Gray Metallic,All-wheel Drive,18,26,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,YV4A221L8L1536533,17714V,36637
2019,Volkswagen,Tiguan 2.0T SE,Used,28000,4.5,136,Dealer,4.7,1487,91355,Good,4.6,4.7,4.3,4.5,4.6,4.5,Dark Moss Green Metallic,Front-wheel Drive,22,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3VV3B7AX9KM114141,KM114141,14480
2020,Land,Rover Range Rover Evoque SE,Used,42995,4.1,16,Dealer,4.3,500,91367,Good,4.6,4.5,3.7,3.7,4.7,3.5,Santorini Black,AWD,20,27,Gasoline,Automatic,I4,SALZP2FXXLH005594,LH005594,33960
2018,Subaru,Outback 3.6R Limited,Used,30698,4.7,445,Dealer,4.7,1271,90621,Good,4.8,4.7,4.6,4.7,4.7,4.8,Tungsten Metallic,All-wheel Drive,20,27,Gasoline,Automatic CVT,3.6L H6 24V MPFI DOHC,4S4BSENC9J3389333,J3389333,49197
2018,Hyundai,Kona Limited,Used,23995,4.7,204,Dealer,4.4,1947,92618,Good,4.7,4.6,4.7,4.6,4.8,4.8,Lime Twist,Front-wheel Drive,28,32,Gasoline,7-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Turbo,KM8K33A58JU126527,JU126527,39498
2019,BMW,X3 xDrive30i,Used,31652,4.7,99,Dealer,4.6,249,93637,Good,4.7,4.7,4.8,4.3,4.8,4.6,Jet Black,All-wheel Drive,22,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTR9C51KLD98790,KLD98790G,80894
2011,Toyota,Avalon Limited,Used,18490,4.7,97,Dealer,4.6,509,89146,Good,4.8,4.6,4.8,4.7,4.5,4.8,Blizzard Pearl,Front-wheel Drive,20,29,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,4T1BK3DB9BU379622,BU379622,61675
2021,Tesla,Model Y Long Range,Used,74888,4,15,Dealer,4.6,949,89014,Good,4.1,4.2,4.3,3.7,4.2,3.8,Pearl White Multi,All-wheel Drive,131,117,Electric,1-Speed Automatic,Electric,5YJYGDEE4MF202356,TPU17690,23508
2019,Toyota,Highlander XLE,Used,39997,4.6,363,Dealer,4.9,437,95356,Good,4.8,4.7,4.6,4.5,4.7,4.6,Blizzard Pearl,All-wheel Drive,20,26,Gasoline,automatic,V6 Cylinder Engine,5TDJZRFH7KS602065,82624,46193
2021,BMW,X1 xDrive28i,Used,37998,5,3,Dealer,4.4,1572,95051,Good,5,5,5,4.7,5,5,Gray,All-wheel Drive,23,31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXJG9C09M5S71778,NM5S71778,13852
2019,BMW,X3 xDrive30i,Used,36487,4.7,99,Dealer,4.5,1222,94538,Great,4.7,4.7,4.8,4.3,4.8,4.6,Black Sapphire Metallic,All-wheel Drive,22,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTR9C58KLP89383,KLP89383,20765
2017,Mercedes-Benz,C-Class C 300,Mercedes-Benz Certified,31399,4.7,104,Dealer,4.3,2659,95825,Fair,4.8,4.8,4.8,4.5,4.8,4.7,Gray Metallic,Rear-wheel Drive,24,34,Gasoline,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF4JB3HU182384,B18318,35300
2020,Tesla,Model Y Long Range,Used,68981,3.7,10,Dealer,2.8,259,85388,Good,3.9,3.8,4.1,3.3,3.8,4,Midnight Silver Metallic,All-wheel Drive,127,114,Electric,1-Speed Automatic,Electric,5YJYGDEE2LF035154,P3392,15614
2021,Jeep,Grand Cherokee Limited,Used,42890,4.7,58,Dealer,4.4,720,85284,Good,4.7,4.7,4.7,4.5,4.7,4.7,Slate Blue Pearlcoat,Rear-wheel Drive,19,26,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJEBG4MC656847,MC656847,12501
2020,Toyota,RAV4 Limited,Used,40595,4.7,166,Dealer,4.8,4504,85286,Good,4.8,4.8,4.7,4.6,4.8,4.8,Silver Sky Metallic,FWD,27,35,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,2T3Y1RFV6LW065779,LW065779,23813
2021,Toyota,Corolla LE,Toyota Certified,26999,4.8,74,Dealer,4.4,469,85710,Good,4.8,4.7,4.8,4.7,4.9,4.9,Black,Front-wheel Drive,30,38,Gasoline,Automatic CVT,1.8L I4 16V MPFI DOHC,5YFEPMAE5MP175682,P11261,34308
2019,Lexus,GX 460 Base,Used,42975,4.7,24,Dealer,4.9,1441,80401,Good,4.8,4.6,4.6,4.5,4.6,4.8,Starfire Pearl,Four-wheel Drive,15,18,Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJBM7FX3K5211500,P2670,78871
2019,Subaru,Crosstrek 2.0i Premium,Used,28381,4.7,205,Dealer,3.8,46,80123,Great,4.7,4.7,4.6,4.7,4.8,4.8,Sunshine Orange,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTAEC4KH394686,12NV233,19938
2019,Toyota,Corolla LE,Used,21822,4.8,167,Dealer,4.5,1519,80112,Good,4.8,4.7,4.7,4.7,4.8,4.9,Barcelona Red Metallic,Front-wheel Drive,28,36,Gasoline,Automatic CVT,1.8L I4 16V MPFI DOHC,5YFBURHE4KP942398,KP942398,42390
2018,Subaru,Crosstrek 2.0i,Used,19700,4.8,343,Dealer,4.2,174,80550,NA,4.8,4.8,4.6,4.8,4.9,4.9,Crystal White Pearl,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTAAC9JH242892,54364,44633
2019,Jeep,Grand Cherokee Limited,Used,38952,4.8,224,Dealer,4.5,742,98005,Good,4.9,4.9,4.8,4.6,4.9,4.8,Diamond Black,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG3KC539229,KC539229,25887
2021,GMC,Yukon XL Denali,Used,84994,4.9,3,Dealer,3.4,32,76051,Good,5,5,5,4.3,5,5,Onyx Black,Four-wheel Drive,14,19,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2JKLXMR186345,MR186345,39139
2020,Volkswagen,Tiguan 2.0T S,Used,26289,4.7,59,Dealer,4.9,68,78717,Great,4.8,4.8,4.6,4.7,4.8,4.8,Pure White,Front-wheel Drive,22,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3VV1B7AX9LM148427,PLM148427,15287
2019,Honda,CR-V EX-L,Honda Certified,32246,4.8,540,Dealer,4.5,1428,75034,Good,4.8,4.8,4.7,4.7,4.8,4.8,Platinum White Pearl,Front-wheel Drive,28,34,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW1H84KE020489,MHF230008A,21388
2018,BMW,X2 sDrive28i,Used,29480,4.7,42,Dealer,4.3,1341,75093,Fair,4.6,4.7,4.7,4.5,4.9,4.5,Mineral Gray Metallic,Front-wheel Drive,23,32,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXYJ3C39JEJ84840,J84840,47986
2019,Subaru,Outback 3.6R Touring,Used,36998,4.7,262,Dealer,3.6,4,75041,Great,4.8,4.7,4.7,4.7,4.7,4.7,Crystal Black Silica,All-wheel Drive,20,27,Gasoline,Automatic CVT,3.6L H6 24V MPFI DOHC,4S4BSETC0K3225814,22772860,26532
2018,Cadillac,XT5 Luxury,Cadillac Certified,36293,4.8,131,Dealer,4.7,46,74145,Great,4.8,4.8,4.7,4.6,4.9,4.8,Harbor Blue Metallic,All-wheel Drive,18,25,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKNDRS2JZ152360,P4861,34692
2007,Toyota,Camry LE,Used,9950,4.2,301,Dealer,4.1,10,68137,Great,4.4,4.1,4.1,4.2,4.3,4.3,White,Front-wheel Drive,22,31,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,4T1BK46K87U548913,548913,99223
2019,Audi,Q8 3.0T Premium,Used,66800,4.8,27,Dealer,4.5,175,68154,Good,4.9,4.8,4.8,4.6,5,4.9,Daytona Gray Pearl Effect,All-wheel Drive,17,22,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WA1EVAF10KD020669,437308A,35848
2015,Acura,RDX Base,Used,17950,4.6,69,Dealer,3.8,13,68117,Great,4.7,4.4,4.6,4.4,4.5,4.8,Red,Front-wheel Drive,20,28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5J8TB3H35FL013469,61546123,33000
2015,Chevrolet,Tahoe LT,Used,31995,4.5,107,Dealer,2.4,23,66071,Good,4.6,4.7,4.5,4.3,4.8,4.4,Sable Metallic,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKBKC1FR306965,F306965,88311
2016,Acura,ILX Premium & A-SPEC Packages,Used,20575,4.4,44,Dealer,4.5,1343,77090,Fair,4.4,4.3,4.3,4.4,4.5,4.7,Crystal Black Pearl,Front-wheel Drive,25,36,Gasoline,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,19UDE2F82GA020770,GA020770,79206
2016,Chevrolet,Tahoe LTZ,Used,42500,4.6,84,Dealer,4.8,152,58301,Good,4.8,4.7,4.5,4.2,4.7,4.7,Sable Metallic,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKCKCXGR167474,T1N053X,73199
2019,BMW,X5 xDrive50i,Used,69995,4.7,55,Dealer,4.9,1952,55305,Fair,5,4.9,4.9,4.4,4.7,4.6,Black Sapphire Metallic,All-wheel Drive,17,22,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,5UXJU2C53KLN65502,5352,13965
2017,Subaru,Impreza 2.0i,Used,16823,4.8,175,Dealer,4.5,15,55337,Great,4.7,4.7,4.6,4.8,4.8,4.8,Blue,All-wheel Drive,28,38,Gasoline,CVT 7-Speed,4 Cylinder Engine,4S3GKAA68H3601314,1314,40060
2017,Toyota,4Runner Limited,Used,37950,4.8,151,Dealer,4.8,2596,63011,Good,4.8,4.6,4.7,4.7,4.9,4.9,Nautical Blue Metallic,Four-wheel Drive,17,20,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JR4H5411385,20498A,87878
2019,Honda,Pilot EX-L,Used,36900,4.8,223,Dealer,4.7,34,39466,Good,4.9,4.8,4.7,4.7,4.7,4.8,Black,Front-wheel Drive,19,27,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H50KB018159,P46792A,26804
2020,Ford,Ranger XL,Used,33995,4.8,73,Dealer,4.8,430,53066,Good,4.9,4.8,4.9,4.7,4.9,4.8,Black,Four-wheel Drive,20,24,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FTER1FH7LLA35670,GP5400,19432
2019,Land,Rover Range Rover Velar P250 SE R-Dynamic,Used,54555,3.5,15,Dealer,4.3,189,60515,Good,3.7,4.2,3.3,3,4.5,2.9,Fuji White,Four-wheel Drive,21,27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,SALYL2EX1KA234861,K310,33069
2018,Mercedes-Benz,C-Class C 300 4MATIC,Used,35360,4.8,66,Dealer,4.4,2346,60173,Good,4.8,4.9,4.9,4.7,4.9,4.8,Polar White,All-wheel Drive,22,29,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WDDWK4KB3JF598728,P4399,43958
2019,Cadillac,XT5 Luxury,Used,34897,4.6,94,Dealer,4.1,571,60126,Great,4.8,4.7,4.6,4.4,4.7,4.5,Stellar Black Metallic,All-wheel Drive,18,25,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKNDRS8KZ115038,PKC12584A,32177
2020,RAM,1500 Limited,Used,62000,4.8,201,Private,4.1,571,60068,Good,4.9,4.9,4.8,4.6,4.8,4.7,Black,Four-wheel Drive,19,24,Gasoline/Mild Electric Hybrid,A/T,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,1C6SRFPT9LN147496,???,35650
2019,Honda,CR-V EX-L,Used,33312,4.8,540,Dealer,4.8,1366,60443,Good,4.8,4.8,4.7,4.7,4.8,4.8,Modern Steel Metallic,All-wheel Drive,27,33,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW2H87KE034568,P201300,13332
2020,Audi,Q5 45 Premium Plus,Used,47441,4.8,30,Dealer,3.4,88,53227,Good,4.8,4.7,4.9,4.7,4.8,4.7,Mythos Black Metallic,All-wheel Drive,22,28,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1BNAFY1L2100821,29454,15388
2017,Lincoln,MKZ Premiere,Used,27991,4.8,151,Dealer,4.8,2762,60077,Fair,4.9,4.8,4.8,4.7,4.8,4.8,Black,All-wheel Drive,20,28,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3LN6L5B9XHR637558,P03643,32927
2018,Acura,RDX AcuraWatch Plus Package,Used,27975,4.8,94,Dealer,4.3,360,60642,Great,4.8,4.7,4.7,4.7,4.7,4.9,Lunar Silver Metallic,All-wheel Drive,19,27,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5J8TB4H39JL008077,PCO4138,49127
2019,Acura,RDX Base,Acura Certified,41495,4.3,217,Dealer,4.6,126,46410,Fair,4.6,4.5,4.2,4.1,4.6,4.2,PERFORMANCE RED PEARL,All-wheel Drive,21,27,Gasoline,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,5J8TC2H3XKL039759,6137A,16161
2021,Honda,Pilot EX-L,Used,38441,4.8,63,Dealer,4.3,230,38401,Good,4.9,4.7,4.8,4.7,4.7,4.8,Crystal Black Pearl,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H52MB010230,86079B,49231
2019,INFINITI,QX80 Luxe,Used,52506,4.8,26,Dealer,4.8,1948,37064,Good,4.8,4.7,4.8,4.7,4.8,4.8,Champagne Quartz,Rear-wheel Drive,14,20,Gasoline,7-Speed Automatic,5.6L V8 32V GDI DOHC,JN8AZ2NF1K9688029,EL09626B,27017
2020,Honda,Odyssey Touring,Used,46041,4.7,53,Dealer,4.7,1478,37129,Good,4.8,4.8,4.7,4.6,4.7,4.7,Modern Steel Metallic,Front-wheel Drive,19,28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H82LB027153,NA02629A,22875
2007,Cadillac,DTS Performance,Used,8995,4.6,61,Dealer,2.7,66,46227,Good,4.8,4.6,4.6,4.5,4.5,4.4,Black,Front-wheel Drive,17,24,Gasoline,4-Speed Automatic,4.6L V8 32V MPFI DOHC,1G6KD57917U204035,CAD0735602H,88321
2021,Lexus,RX 350 Base,Used,51400,4.8,56,Dealer,4.7,28,47129,Great,4.8,4.8,4.8,4.6,4.7,4.8,Gray,All-wheel Drive,19,26,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2HZMDA5MC262591,MU17680,13351
2018,Toyota,RAV4 LE,Toyota Certified,24497,4.8,770,Dealer,3.3,19,35906,Great,4.8,4.7,4.8,4.7,4.8,4.9,Super White,Front-wheel Drive,23,30,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,JTMZFREV7JJ749906,NW208861A,48075
2019,Honda,Pilot EX-L,Used,36500,4.8,223,Dealer,4.3,82,45371,Great,4.9,4.8,4.7,4.7,4.7,4.8,Deep Scarlet Pearl,All-wheel Drive,18,26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H56KB077240,H23248,37911
2021,Toyota,Tundra SR5,Used,50007,4.9,32,Dealer,4.7,263,30189,Good,4.9,4.8,4.8,4.8,4.9,4.9,Cement,Four-wheel Drive,13,17,Gasoline,6-Speed Automatic,5.7L V8 32V MPFI DOHC,5TFDY5F11MX971531,J250141A,19162
2019,Ford,F-150 XLT,Used,39690,4.8,425,Dealer,4.6,246,43571,Good,4.9,4.8,4.8,4.6,4.8,4.7,Silver,Four-wheel Drive,18,23,Gasoline,Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FTEW1EP8KFA59183,A59183,35624
2019,Cadillac,XT4 Premium Luxury,Used,33800,4.2,107,Dealer,4.1,610,30033,Great,4.5,4.5,4,3.8,4.7,3.8,Stellar Black Metallic,Front-wheel Drive,24,30,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1GYFZCR42KF163671,NBDL220884A,43316
2019,Dodge,Journey Crossroad,Used,24500,4.3,83,Dealer,4.1,211,40965,Good,4.5,4.3,4.2,4.3,4.4,4.4,Granite Crystal Clearcoat Metallic,Front-wheel Drive,19,25,Gasoline,4-Speed Automatic,2.4L I4 16V MPFI DOHC,3C4PDCGB8KT686015,P6766,47042
2019,Acura,TLX FWD,Used,31203,4.4,55,Dealer,4.5,145,30096,Fair,4.6,4.4,4.3,4.3,4.6,4.4,Still Night Pearl,Front-wheel Drive,23,33,Gasoline,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,19UUB1F32KA010840,KA010840,35841
2019,Mercedes-Benz,A-Class A 220,Mercedes-Benz Certified,35832,4.5,36,Dealer,4.8,1875,30096,Good,4.6,4.7,4.4,4.3,4.7,4.3,Polar White,Front-wheel Drive,24,35,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WDD3G4EB1KW009368,35731A,34909
